time	room_temp	room_humid	temp	humid 	press	weather	wat	steps	cal	behavior_id
0										2
1										2
2										2
3										2
4										2
5										2
6										2
7										2
8										2
9										2
10										2
11										2
12										2
13										2
14										2
15										2
16										2
17										2
18										2
19										2
20										2
21										2
22										2
23										2
24										2
25										2
26										2
27										2
28										2
29										2
30										2
31										2
32										2
33										2
34										2
35										2
36										2
37										2
38										2
39										2
40										2
41										2
42										2
43										2
44										2
45										2
46										2
47										2
48										2
49										2
50										2
51										2
52										2
53										2
54										2
55										2
56										2
57										2
58										2
59										2
60										2
61										2
62										2
63										2
64										2
65										2
66										2
67										2
68										2
69										2
70										2
71										2
72										2
73										2
74										2
75										2
76										2
77										2
78										2
79										2
80										2
81										2
82										2
83										2
84										2
85										2
86										2
87										2
88										2
89										2
90										2
91										2
92										2
93										2
94										2
95										2
96										2
97										2
98										2
99										2
100										2
101										2
102										2
103										2
104										2
105										2
106										2
107										2
108										2
109										2
110										2
111										2
112										2
113										2
114										2
115										2
116										2
117										2
118										2
119										2
120										2
121										2
122										2
123										2
124										2
125										2
126										2
127										2
128										2
129										2
130										2
131										2
132										2
133										2
134										2
135										2
136										2
137										2
138										2
139										2
140										2
141										2
142										2
143										2
144										2
145										2
146										2
147										2
148										2
149										2
150										2
151										2
152										2
153										2
154										2
155										2
156										2
157										2
158										2
159										2
160										2
161										2
162										2
163										2
164										2
165										2
166										2
167										2
168										2
169										2
170										2
171										2
172										2
173										2
174										2
175										2
176										2
177										2
178										2
179										2
180										2
181										2
182										2
183										2
184										2
185										2
186										2
187										2
188										2
189										2
190										2
191										2
192										2
193										2
194										2
195										2
196										2
197										2
198										2
199										2
200										2
201										2
202										2
203										2
204										2
205										2
206										2
207										2
208										2
209										2
210										2
211										2
212										2
213										2
214										2
215										2
216										2
217										2
218										2
219										2
220										2
221										2
222										2
223										2
224										2
225										2
226										2
227										2
228										2
229										2
230										2
231										2
232										2
233										2
234										2
235										2
236										2
237										2
238										2
239										2
240										2
241										2
242										2
243										2
244										2
245										2
246										2
247										2
248										2
249										2
250										2
251										2
252										2
253										2
254										2
255										2
256										2
257										2
258										2
259										2
260										2
261										2
262										2
263										2
264										2
265										2
266										2
267										2
268										2
269										2
270										2
271										2
272										2
273										2
274										2
275										2
276										2
277										2
278										2
279										2
280										2
281										2
282										2
283										2
284										2
285										2
286										2
287										2
288										2
289										2
290										2
291										2
292										2
293										2
294										2
295										2
296										2
297										2
298										2
299										2
300										2
301										2
302										2
303										2
304										2
305										2
306										2
307										2
308										2
309										2
310										2
311										2
312										2
313										2
314										2
315										2
316										2
317										2
318										2
319										2
320										2
321										2
322										2
323										2
324										2
325										2
326										2
327										2
328										2
329										2
330										2
331										2
332										2
333										2
334										2
335										2
336										2
337										2
338										2
339										2
340										2
341										2
342										2
343										2
344										2
345										2
346										2
347										2
348										2
349										2
350										2
351										2
352										2
353										2
354										2
355										2
356										2
357										2
358										2
359										2
360										2
361										21
362										1
363										1
364										1
365										1
366										1
367										1
368										1
369										1
370										20
371										20
372										20
373										20
374										20
375										20
376										20
377										20
378										20
379										20
380										17
381										17
382										17
383										23
384										23
385										23
386										7
387										7
388										7
389										7
390										7
391										7
392										7
393										7
394										7
395										7
396										7
397										7
398										7
399										7
400										7
401										3
402										3
403										3
404										3
405										3
406										3
407										3
408										3
409										3
410										3
411										3
412										3
413										3
414										3
415										3
416										11
417										11
418										11
419										11
420										11
421										24
422										24
423										24
424										24
425										24
426										25
427										25
428										25
429										25
430										25
431										14
432										14
433										14
434										14
435										14
436										14
437										14
438										14
439										14
440										14
441										14
442										14
443										14
444										14
445										14
446										14
447										14
448										14
449										14
450										14
451										15
452										15
453										15
454										15
455										15
456										15
457										15
458										15
459										15
460										15
461										26
462										1
463										1
464										1
465										1
466										1
467										1
468										1
469										1
470										1
471										1
472										1
473										1
474										1
475										1
476										1
477										1
478										1
479										1
480										1
481										1
482										1
483										1
484										1
485										1
486										1
487										1
488										1
489										1
490										1
491										1
492										1
493										1
494										1
495										1
496										1
497										1
498										1
499										1
500										1
501										1
502										1
503										1
504										1
505										1
506										1
507										1
508										1
509										1
510										1
511										1
512										1
513										1
514										1
515										1
516										1
517										1
518										1
519										1
520										1
521										1
522										1
523										1
524										1
525										1
526										1
527										1
528										1
529										1
530										1
531										1
532										1
533										1
534										1
535										1
536										1
537										1
